"","x"
"154","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
""식약처장, 심의기준·재심의 결정…행정권에 의한 심의""2018.6.28/뉴스1 ⓒ News1 허경 기자(서울=뉴스1) 최동순 기자 = 건강기능식품 기능성광고 사전심의는 사실상 행정권에 의해 행해져, 헌법이 금지하는 '사전검열'에 해당한다는 헌법재판소 판단이 나왔다. 헌법재판소는 28일 건강기능식품에 관한 법률 제18조 제1항 제6호 등에 대한 헌법소원 심판에서 재판관 8대1 의견으로 위헌을 결정했다. 옛 건강기능식품법 제18조 제1항 제6호는 심의받은 내용과 다른 내용의 광고에 대한 광고를 금지하면서 이를 어길 경우 5년 이하의 징역 또는 5000만원 이하의 벌금에 처하도록 하고 있다. 헌재는 ""건강기능식품 기능성광고 사전심의는 그 검열이 행정권에 의해 행해진다 볼 수 있고, 헌법이 금지하는 사전검열에 해당하므로 헌법에 위반된다""고 판단했다. 헌재는 ""현행 헌법상 사전검열은 표현의 자유 보호대상이면 예외 없이 금지된다""며 ""민간심의기구가 심의를 담당하는 경우에도 행정권이 개입해 자율성이 보장되지 않거나, 행정기관의 자의로 개입할 가능성이 열려 있다면 개입 가능성의 존재 자체로 헌법이 금지하는 사전검열이라고 봐야 한다""고 밝혔다. 이어 ""건강기능식품의 표시·광고 심의기준 등은 식약처장이 정하고, 심의기준에 맞지 않을 경우 재심의도 결정할 수 있다""며 ""심의업무가 행정기관으로부터 독립적, 자율적으로 운영되고 있다고 보기 어렵다""고 덧붙였다.조용호 재판관은 반대의견을 통해 ""건강기능식품의 허위·과장 광고는 사전에 예방하지 않을 경우 불특정 다수가 신체·건강상 피해를 보는 등 광범위한 해악이 초래될 수 있다""며 ""한국건강기능식품협회는 행정권으로부터 독립된 민간 자율기구로서 그 행정 주체성을 인정하기 어렵다""고 밝혔다. 한편 청구인은 각종 상품을 TV 홈쇼핑 등을 통해 판매하던 중 심의받은 내용과 다른 내용의 표시·광고를 했다는 이유로, 구청으로부터 영업정지 2개월의 처분을 받았다. 그는 처분취소 소송을 진행하면서 헌법소원 심판을 청구했다.dosool@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ 2018 러시아 월드컵 기사보기[ⓒ 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]
	
	"
"155","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	[아시아경제 이정민 기자] 원자력안전위원회(원안위)는 지난 3일 갑자기 가동을 멈춘 한울원전 6호기에 대한 검사에서 안전성이 확인돼 재가동을 승인했다고 28일 밝혔다.원안위는 정밀 점검을 통해 발전소 내 기기를 제어하는 데 쓰이는 전자부품이 고장난 것을 확인했다. 이로 인해 원자로 냉각재 펌프 4대 중 1대가 정지해 한울 6호기가 멈췄다.원안위는 한국수력원자력에 이런 사고가 다시 발생하지 않도록 전국 원전을 대상으로 개선 조치를 시행토록 했다.이정민 기자 ljm1011@asiae.co.kr▶ 네이버 채널 설정하고, 룰렛 당첨 확인 GO ▶ 양낙규의 '군사이야기' ▶ 재미와 신기 '과학을읽다'"
"156","
	
	

	
		동영상 뉴스
		
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	드루킹 첫 소환ㆍ압수수색…""변호사 2명도 공범""[앵커]어제(27일) 본격 수사에 착수한 허익범 특검팀이 발빠른 움직임을 보이고 있습니다. 특검팀은 드루킹의 구치소 수용실을 압수수색한 데 이어 오후에는 드루킹을 소환하는 등 속도를 내고 있습니다.  김수강 기자입니다.[기자]특검팀은 오늘(28일) 오후 드루킹 김 씨를 피의자 신분으로 소환했습니다.수의 차림으로 마스크를 쓴 채 버스에서 내린 김 씨는 기다리던 취재진의 질문에 일절 답하지 않은 채 재빨리 특검사무실이 마련된 건물 안으로 들어갔습니다.다만 특검에 가서는 다 얘기할거냐는 질문에는 고개를 끄덕였고, 앞서 김 씨의 측근인 윤평 변호사가 적극적으로 특검 조사에 임하겠단 김씨의 뜻을 전한 만큼 어떤 진술을 내놓을지 주목됩니다.특검팀은 김 씨를 상대로 매크로를 활용한 불법 댓글여론조작 경위와, 이 과정에서 김경수 경남도지사 당선인의 인지 및 연루 여부 등을 집중적으로 확인할 것으로 보입니다. 20일의 준비기간을 끝내고 어제 본격 수사에 착수한 드루킹 특검팀은 오늘부터 수사에 한층 속도를 내는 모습입니다.그동안 특검팀 구성과 기록 검토에 치중했다면, 오늘은 드루킹의 직접 소환과 압수수색 등 강제 수사에도 신속하게 나선 겁니다.구체적으로 특검팀은 오전 김 씨를 비롯한 공범 3명이 수감된 서울구치소에 대한 압수수색을 진행했습니다.또 댓글조작에 연루됐다고 알려진 변호사 2명의 집과 사무실에 대해서도 압수수색이 이뤄졌는데요.특검 관계자는 ""두명의 변호사는 경제적공진화모임, 경공모의 핵심멤버로 드루킹 김씨와 함께 댓글조작에 관여한 정황이 포착돼 피의자로 입건했다""며 조만간 소환할 뜻을 분명히 했습니다.특검팀은 드루킹의 구치소에서 각종 메모와 편지를 확보하고, 변호사 사무실에서는 사건 관련 자료를 수집한 것으로 확인됐습니다.연합뉴스TV 김수강입니다.  kimsookang@yna.co.kr 연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23 ▶ 연합뉴스TV 네이버 채널 구독<U+00A0><U+00A0> ▶ 생방송 시청 ▶ 대한민국 뉴스의 시작, 연합뉴스TV 앱 다운받기"
"157","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
원안위 의결 사상 최고 금액원자력안전위원회(원안위)는 28일 제 84회 위원회를 열고 원자력발전소에 부적합한 부품을 쓴 한국수력원자력에 대해 58억5천만원의 과징금 처분을 내렸다. 2011년 원안위 출범 이후 내린 과장금 처분 가운데 가장 큰 금액이다.원안위는 지난해 12월 수행한 신월성 2호기에 대한 정기검사에서 증기를 방출하는 밸브(주증기대기방출밸브)가 모의후열처리와 충격시험 등 일부 시험의 허가기준을 충족하지 못한 것을 확인했다.<U+00A0>또 원안위는 신월성 2호기 뿐 만 아니라 국내에 가동 중인 원전 24기에도 비슷한 사례가 있을 것으로 보고, 확대점검을 실시한 결과 신고리 1∼3호기, 신월성 1호기, 한빛 3∼6호기, 한울 3∼6호기 등에서 같은 문제점을 발견했다. 세부적으로 모의후열처리 요건은 10호기 45개 밸브, 충격시험요건은 11호기 136개 밸브에서 허가기준을 채우지 못했다.<U+00A0><U+00A0>원안위 측은 ""한수원이 제작업체에 밸브 제작을 맡길 때 구매규격서를 잘못 썼고, 제품에 대한 품질검사도 미흡하게 했다""면서""밸브의 제작 및 시공과정에서 후열처리가 부족했고 합격기준치도 채우지 못했다. 충격검사 역시 횟수와 조건, 합격기준치 미달 등 여러곳에서 문제점이 발견됐다""고 했다.<U+00A0>원안위는 현재 10호기에 대해 밸브를 교체하는 등 부적합 요건을 충족했고, 나머지 4개 호기는 연말까지 조치를 완료키로 했다. 또 앞으로 이런 사례가 생기지 않도록 계약`인수`시공 등 단계별로 점검을 강화하는 등 대책을 마련할 방침이다.<U+00A0><U+00A0><U+00A0>박승혁 기자 psh@msnet.co.krⓒ매일신문 - www.imaeil.com
	
	"
"158","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
[아시아경제(대전) 정일웅 기자] 특허청은 한국여성발명협회, 한국발명진흥회와 함께 이달 28일부터 나흘간 일산 킨텍스 제1전시장에서 ‘2018년 여성발명왕 엑스포’를 개최한다고 28일 밝혔다. 엑스포는 여성의 혁신적 아이디어로 탄생한 발명품을 한 자리에서 볼 수 있는 자리로 마련된다. 성윤모 특허청장이 행사장 내 전시부스를 관람하고 있다. 특허청 제공대전=정일웅 기자 jiw3061@asiae.co.kr▶ 네이버 채널 설정하고, 룰렛 당첨 확인 GO ▶ 양낙규의 '군사이야기' ▶ 재미와 신기 '과학을읽다'"
"159","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
                         세종사이버대학교 아동가족학부(아동가족상담학과, 아동학과, 청소년코칭상담학과)는 6월 23일 세종대학교 군자관 6층 집현전에서 ‘영유아행동관찰 및 발달진단평가’를 주제로 학부특강을 개최했다.     이번 특강은 한어총 서울시 가정어린이집 연합회 회원들의 요구를 수렴하여 어린이집을 평가하는 데 있어 교사의 전문가 역량을 증진하기 위한 지표로 영유아행동관찰에 대한 기록기법과 진일보된 평가방법에 대한 과학적이고 이론적인 지식공유를 목적으로 진행됐다.     이날 세종대 집현전에는 사전 신청자 150명과 현장 접수자 30명 등 약 180명 정도의 보육현장에 있는 원장과 교사들이 참여해 뜨거운 관심을 보였다.     세종사이버대학교 아동가족학부 이사라 교수는 “아동가족상담학과와 아동학과는 보육교사의 보수교육과 재교육을 위한 교과과정으로 ‘영유아 문제행동진단 및 평가’와 ‘보육현장에서의 부모상담’ 등 현실에서 꼭 필요한 교과목들을 새롭게 신설하여 좋은 평가를 받고 있다”며 “한국어린이집총연합회와 협약을 맺고 있는 세종사이버대학교 아동가족학부는 보육교사들을 위한 장학혜택과 교육과정이 마련되어 있다”고 설명했다.     박서영 교수는 이번 특강에서 영유아 행동 관찰기록을 통한 영유아 평가이해, 발달검사의 이해, 교사와 부모상호작용 관찰 등을 발표했으며, 자연적 관찰, 통제적 관찰, 참여관찰, 비참여관찰 등 관찰의 다양한 유형을 소개했다.     세종사이버대 아동가족학부 이사라 교수는 “아동가족상담학과, 아동학과, 청소년코칭상담학과는 보육 유관기관, 보육실습기관과 MOU체결을 통해 다양한 교육프로그램 참여가 가능하며 교사들간의 인적교류와 보육교사 재교육이 진행되고 있다”며 “재학 중 보육과 상담, 코칭, 청소년지도 등 관련된 다양한 자격증을 취득하며 세종대학교 교육대학원 유아교육학과, 상담심리학과, 평생교육학과 등에 진학하고 있다”고 말했다.     한편, 세종사이버대학교는 오는 7월 10일까지 2018학년도 가을학기 신·편입생을 모집 중이다.     온라인 중앙일보   ▶ 중앙일보 '홈페이지' / '페이스북' 친구추가▶ 이슈를 쉽게 정리해주는 '썰리'ⓒ중앙일보(http://joongang.co.kr), 무단 전재 및 재배포 금지
	
	"
"160","
	
	

	
		동영상 뉴스
		
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	[뉴스콘서트]◀ 앵커 ▶대체 복무규정이 없는 병역법은 헌법에 위배된다는 헌법재판소의 판결이 나왔습니다.하지만 헌법재판소는 병역 거부자를 처벌하도록 한 처벌 조항은 합헌이라고 판단을 했습니다.박민주 기자입니다.◀ 리포트 ▶헌법재판소는 대체 복무규정이 없는 현재의 병역법은 헌법에 위배된다며 내년 말까지 대체 복무규정을 마련하라고 입법부에 주문했습니다.병역법 5조가 규정한 병역 유형이 모두 군사훈련을 포함하고 있는 상황에서 대체 복무규정 없이 양심적 병역 거부자를 처벌한다면 양심의 자유를 침해하는 것이라고 밝혔습니다.또 대체복무제를 도입하더라도 우리나라에 국방력에 의미 있는 수준의 영향을 미치지 않는다고 판단했습니다.헌재 결정대로 국회에서 대체 입법이 이루어지면 오는 2020년부터는 대체복무가 가능해 질 전망입니다.하지만 헌재는 정당한 사유 없이 병역을 거부하면 처벌하도록 한 병역법 88조 1항은 합헌으로 판단했습니다.병역을 수행할 경우 국민의 기본권이 일정 부분 제한받는 만큼 정당한 사유 없는 병역 거부를 처벌하는 건 전혀 문제될 게 없다는 겁니다.다만 병역을 거부할 만한 정당한 사유에 양심적 병역거부가 포함되는지 여부는 각 법원에서 판단할 문제라고 밝혔습니다.헌법재판소가 처벌 조항을 합헌으로 판단하면서도 현행 병역법 체계가 양심의 자유를 침해한다고 명시적으로 밝히면서 향후 각 법원에서 양심적 병역거부자에 대한 무죄 판결이 늘어날 수 있다는 관측도 나오고 있습니다.MBC뉴스 박민주입니다.박민주 기자 (minju@imbc.com)[저작권자(c) MBC (http://imnews.imbc.com) 무단복제-재배포 금지]Copyright(c) Since 1996, MBC&iMBC All rights reserved.
	
	"
"161","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
재판관 8:1 의견…""마트 근로자 건강권 확보도 공익""조용호 재판관 소수의견…""공정한 경쟁 막고 직업수행 자유 침해""종로구 헌법재판소 앞에서 열린 기자회견/사진=연합뉴스대형마트가 새벽 영업을 못 하도록 하고, 한 달에 이틀 이상 의무적으로 휴업하도록 한 유통산업 발전법이 헌법에 어긋나지 않는다는 헌법재판소의 결정이 나왔습니다.헌재는 오늘(28일) 이마트 등 대형마트 7곳이 유통산업 발전법 12조의2 1∼3항이 헌법에 어긋난다며 낸 헌법소원 사건에서 재판관 8대 1 의견으로 합헌 결정했습니다.2013년 1월 시행된 유통발전법 12조의2는 지자체장이 오전 0시부터 오전 10시까지 대형마트의 영업시간을 제한할 수 있도록 하고, 매월 이틀을 의무휴업일로 지정할 수 있도록 규정하고 있습니다. 마트 직원에게 휴식을 보장하고, 전통시장과 중소 상인들을 보호한다는 취지로 도입됐습니다.인천 중구청과 부천시, 청주시는 이 규정을 근거로 2013년 지역 내 대형마트에 오전 0시부터 오전 8시 또는 10시까지 영업을 제한하는 동시에 매월 둘째 주와 넷째 주를 의무휴업일로 지정했고, 대형마트 측은 헌법소원을 냈습니다.헌재는 ""강한 자본력을 가진 소수 대형 유통업체 등의 독과점에 의한 유통시장 거래질서 왜곡을 방지하고, 건전한 유통질서를 확립하는 것을 입법 목적으로 한다""며 ""헌법에 규정된 경제영역에서의 국가목표 등을 구체화한 공익으로 정당성이 인정된다""고 판단했습니다.또 ""해당 조항으로 전통시장 등의 매출 증대에 실제 효과가 거의 없거나 미미하다고 단정할 만한 자료는 없다""며 ""대형마트 등의 경제적 손실과 소비자의 불편 등도 생길 수 있으나 입법 목적 달성을 위해 필요 최소한 범위에 그치고 있다""고 봤습니다.아울러 ""대형 유통업체에 종사하는 근로자의 건강권 확보 또한 국가의 보호의무가 인정되는 공익""이라고 밝혔습니다.다만 조용호 재판관은 이 조항에 대해 ""경쟁의 촉진이 아닌 경쟁자를 보호하기 위한 경제적 규제""라며 ""그 자체로서 자유롭고 공정한 경쟁을 불가능하게 하고, 자유시장 경제 질서의 근간을 흔드는 것""이라며 반대의견을 냈습니다.조 재판관은 ""대형마트 등 운영자의 직업수행 자유를 상당 부분 제한해 그들의 매출액 감소를 초래한다""며 ""해당 조항으로 달성할 수 있는 공익인 전통시장 등의 보호 효과는 거의 없거나 있다고 하더라도 미미한 데 비해 제한·침해되는 공익은 월등하게 크다""고 밝혔습니다.[MBN 온라인뉴스팀]< Copyright ⓒ MBN(www.mbn.co.kr) 무단전재 및 재배포 금지 >
	
	"
"162","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
40명의 사상자를 낸 세종시 주상복합아파트 신축공사장의 화재원인을 밝히기 위해 합동감식이 시작된 28일 오전 세종시 새롬동 화재현장에서 유가족이 눈물을 흘리고 있다.    세종=연합뉴스40명의 사상자를 낸 세종시 주상복합아파트 신축공사장의 화재원인을 밝히기 위해 경찰과 소방당국, 국립과학수사연구원, 대전지방노동청으로 구성된 합동감식단이 28일 오전 세종시 새롬동 화재현장에서 발화원인을 찾고 있다.    세종=연합뉴스40명의 사상자를 낸 세종시 주상복합아파트 신축공사장의 화재원인을 밝히기 위해 경찰과 소방당국, 국립과학수사연구원, 대전지방노동청으로 구성된 합동감식단이 28일 오전 세종시 새롬동 화재현장에서 발화원인을 찾고 있다.    세종=연합뉴스40명의 사상자를 낸 세종시 주상복합아파트 신축공사장의 화재원인을 밝히기 위해 경찰과 소방당국, 국립과학수사연구원, 대전지방노동청으로 구성된 합동감식단이 28일 오전 세종시 새롬동 화재현장 지하1층에서 발화원인을 찾고 있다.    세종=연합뉴스40명의 사상자를 낸 세종시 주상복합아파트 신축공사장의 화재원인을 밝히기 위해 경찰과 소방당국, 국립과학수사연구원, 대전지방노동청으로 구성된 합동감식단이 28일 오전 세종시 새롬동 화재현장 지하1층에서 발화원인을 찾고 있다.   세종=연합뉴스40명의 사상자를 낸 세종시 주상복합아파트 신축공사장의 화재원인을 밝히기 위해 합동감식이 시작된 28일 오전 세종시 새롬동 화재현장에서 유가족들이 눈물을 흘리며 감식을 지켜보고 있다.    세종=연합뉴스40명의 사상자를 낸 세종시 주상복합아파트 신축공사장의 화재원인을 밝히기 위해 합동감식이 시작된 28일 오전 세종시 새롬동 화재현장에서 유가족들이 현장을 확인한 뒤 오열하며 나오고 있다.  세종=연합뉴스정리=박주영 bluesky@hankookilbo.com▶한국일보 [페이스북] [카카오 친구맺기]▶네이버 채널에서 한국일보를 구독하세요![ⓒ 한국일보(hankookilbo.com), 무단 전재 및 재배포 금지]
	
	"
"163","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
   한국선원복지고용센터(이사장 류중빈)는 남항어선원복지회관의 장마철 시설물 위험요소 점검을 실시하였다.부산 남항에 위치한 남항어선원복지회관은 바다와 매우 인접하여 장마철에는 강한 바람과 염분 등으로 인하여 육지지역 대비 안전사고의 위험이 높은 것으로 알려져 있다.특히 금번 점검에서는 남항어선원복지회관 철제 울타리와 객실의 창문 잠금장치 등을 포함하여 장마철에 대비한 시설물 전반의 위험요소 점검을 실시하였다.<U+00A0>또한, 현장 근무자들에게 근무요령 및 대응방안 등에 대하여 교육을 실시했고 철저한 근무를 당부하였다.한국선원복지고용센터 관계자는 ""남항어선원 복지회관은 현장 최일선에 있는 내ㆍ외국인 연근해어선원과 주변 주민들이 이용하는 시설물로서 장마철에도 마음 놓고 편히 이용할 수 있도록 철저하고 완벽하게 위험요소를 점검하고 필요 사항은 사전 조치하여 최상의 서비스를 제공할 수 있도록 최선을 다할 것""이라고 말했다.디지털본부<U+00A0> news@busan.com"
"164","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
[강원영동CBS 전영래 기자]최근 서퍼들에게 인기를 얻고 있는 양양 죽도해변.(사진=강원도환동해본부 제공)강원 동해안 해수욕장이 다음달 6일 개장해 본격적인 여름시즌에 나선다. 29일 강원도 환동해본부에 따르면 강릉, 동해, 삼척, 속초, 고성, 양양 등 동해안 지역 93개 해수욕장이 다음달 6일부터 8월 19일까지 45일 동안 운영된다. 특히 올해는 KTX 개통 등의 접근성 개선 등으로 운영 목표를 관광객 2500만 명 달성과 함께 안전사고 제로로 정했다. 입수 시간은 오전 9시~오후 6시까지로 제한되고 이 시간에는 해변에 안전요원이 배치된다.우선 강릉은 피서객 안전을 위해 경포해수욕장에서 추진하던 드론 해상 인명구조대를 지난해에 이어 올해도 운영한다. 강릉 경포해수욕장에서는 강릉국제청소년예술축전(7월26~29일), 경포 썸머 페스티벌(7월30일~8월5일), 블랙이글에어쇼 공연(8월13~14일) 등의 행사·축제가 펼쳐진다. 주문진해수욕장 축제도 7월 28~29일 개최된다. 강릉 경포해변.(사진=강원도환동해본부 제공)동해 망상해수욕장에서는 그린플러그드 동해 2018(7월21~22일)와 전국남여 비치발리볼대회(7월21~22일), 전국대학복싱동아리선수권대회(8월3~5일) 등의 축제와 대회가 진행된다. 삼척은 피서객이 쉬어갈 수 있도록 데크나 비치 베드를 조성한 힐링 해수욕장을 선보이며 피서객들의 발길을 유혹한다. 삼척해변에서는 2018 삼척비치 썸 페스티벌(7월27~29일)이 열리고, 맹방에서는 해변 조개잡이 축제가 덕산에서는 해변 파도가요제도 개최될 예정이다. 속초 해수욕장에서는 2018 속초썸머브레이크(8월8~11일)과 제13회 전국해양스포츠 제전(8월16~19일)이 열려 피서객들에게 색드른 추억을 선사한다. 속초 해수욕장에서는 2018 속초썸머브레이크(8월8~11일), 제13회 전국해양스포츠 제전(8월16~19일)이, 삼척 해수욕장에서는 2018 삼척비치 썸 페스티벌(7월25~8월10일 중 1일)이 열린다.고성지역은 삼포 해수욕장에서 미드나잇 서핑 뮤직 페스티벌(7월13~15일)이 열리는 것을 비롯해 각 해수욕장 별로 오징어맨손잡기와 투명카누 등의 체험행사도 마련한다. 양양은 낙산 해수욕장의 낙산비치페스티벌(7월28~30일), 하조대 해수욕장에서는 하조대비치페스티벌(8월4~5일)이 각각 진행된다. 양양 죽도·하조대 해수욕장은 서퍼 비치로 운영된다.환동해본부 관계자는 ""올해 관광객 2500만 명을 유치해 지역경제를 활성화할 수 있도록 준비에 만전을 기하고 있다""며 ""KTX 개통 등으로 동해안으로 오는 교통 여건이 많이 개선된 만큼 목표를 달성할 수 있을 것으로 기대한다""고 말했다.▶ 이시각 주요뉴스▶ 기자와 카톡 채팅하기▶ 노컷뉴스 영상 구독하기jgamja@cbs.co.kr저작권자 ⓒ CBS 노컷뉴스 무단전재 및 재배포 금지
	
	"
"165","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
공천 신청자 ""2000만원 건넸다 돌려 받았다"" 주장 사실확인 나서ⓒ News1 D.B(청주=뉴스1) 박태성 기자 = 6·13지방선거를 앞두고 더불어민주당 충북도당 소속 전·현직 청주시의원 간 ‘공천 헌금’ 성격의 금품이 오갔다는 의혹에 대해 경찰이 수사에 착수했다.충북지방경찰청은 민주당 임기중 의원 등 전·현직 청주시의원 공천 헌금 의혹과 관련해 지능범죄수사대에 사건을 배당, 사실관계를 확인하고 있다고 28일 밝혔다.경찰 관계자는 “관련 첩보 내용을 토대로 사실관계를 확인하고 있다”고 했다.최근 청주시의원 선거에 재출마하려던 A의원이 공천을 명목으로 변재일 충북도당위원장 최측근으로 알려진 임기중 의원(충북도의원 당선인)에게 현금 2000만원을 건넸다가 돌려받았다는 의혹이 제기됐다.임 의원은 민주당 충북도당에 소명하는 과정에서 A의원으로부터 금품을 받았다가 돌려준 사실은 인정했지만, 공천과의 연관성은 부인한 것으로 전해졌다.도당에서는 불거진 의혹에 대해 당사자 등을 상대로 자체 진상조사를 벌이고 있다.충북도선거관리위원회도 사실관계 확인에 나섰으나 경찰이 수사에 착수함에 따라 진행 상황을 지켜본다는 방침이다.ts_news@news1.kr▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ 2018 러시아 월드컵 기사보기[ⓒ 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]
	
	"
"166","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	◆ 충북도Δ 3급 승진 ▷ 정책기획관 이재영 ▷ 경제자유구역청 충주지청장 임성빈Δ 3급 전보 ▷ 행정국장 민광기 ▷ 균형건설국장 임택수Δ 시군 부단체장 전보 ▷ 충주시부시장 이두표 ▷ 제천시부시장 금한주 ▷ 보은군부군수 고행준 ▷ 영동군부군수 정일택 ▷ 증평군부군수 이상은 ▷ 괴산군부군수 김대희(7월1일자)Δ 4급 승진내정 ▷ 법률통계담당관실 문영국 ▷  농업정책과 안창복 ▷ 투자유치과 이종구 ▷ 균형발전과 최응기 ▷ 자치행정과 박기순 ▷ 안전정책과 이명헌 ▷ 환경정책과 이학철 ▷ 총무과 홍순덕(이상 행정직) ▷ 산림녹지과 이창규(산림직) ▷ 보건정책과 김용호(보건직) ▷ 균형발전과 김병준(토목직) ▷ 체육진흥과 유순관(건축직) ▷ 농업기술원 구범서(농업직)▶ [뉴스1] 채널설정하기 ▶ 제보하기▶ 2018 러시아 월드컵 기사보기[ⓒ 뉴스1코리아(news1.kr), 무단 전재 및 재배포 금지]
	
	"
"167","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	소방본부·부산항만공사·부두운영사 등 협약 체결(부산=연합뉴스) 이영희 기자 = 부산항에서 위험물질 누출과 같은 사고가 발생했을 때 신속하게 대응하기 위한 협력체제가 구축된다.    부산시소방본부, 부산항만공사, 부산해양수산청, 부산본부세관, 신항과 북항 터미널 운영사들은 28일 오후 '부산항 위험물질 재난사고 공동대응 협약'을 체결했다.부산항 위험물질 사고 공동대응 협약식[부산항만공사 제공=연합뉴스]협약 참여 기관과 운영사들은 부산항의 안전한 운영을 위한 정보를 공유하고 긴밀한 협조체계를 구축하기로 했다.    이를 위해 부산해수청 주관으로 협의체를 구성해 분기마다 회의를 열고 안전관리 강화에 필요한 정책 등을 논의하기로 했다.    세관은 터미널 운영사 등에 위험물에 관한 정보를 제공하고 사고 발생 때는 안전지대로 긴급반출을 허용하기로 했다.    항만공사는 북항과 신항 등 권역별로 위험물 사고 대응장비 보관소 설치를 지원할 계획이다.    터미널 운영사의 안전관리자와 소방관 등 31명으로 권역별 자체 대응팀을 편성하고, 사고 발생 때 인력과 장비를 공동 활용하고 상호 지원하기로 했다.    소방본부 등이 이러한 공동대응 체제를 구축하기로 한 것은 우리나라 위험물질 컨테이너의 87%가 부산항을 거치고 있지만 신속하고 체계적인 사고대응 체계가 미흡하기 때문이다.    소방본부의 화학사고 전담부서인 특수구조단이 부산항과 멀리 떨어져 출동하는 데 북항까지는 30분, 신항까지는 1시간이나 걸린다.    구조단이 현장에 도착하기 전까지 초동대응이 중요한데 위험물 컨테이너를 취급하는 터미널별 합동대응체계가 없다시피 하다.    부산항만공사 관계자는 ""위험물질 사고가 발생하면 인명피해 외에도 항만운영 중단 등 심각한 문제가 발생한다""며 ""협력체계가 구축되면 부산항의 안전성이 한층 강화돼 경쟁력 제고에도 도움이 될 것으로 본다""고 말했다.    lyh9502@yna.co.kr▶기사제보 및 문의▶뉴스가 보여요 - 연합뉴스 유튜브<U+00A0><U+00A0>▶2018 러시아 월드컵의 모든 것
	
	"
"168","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}

	
	◇ 4급 전보     ▲ 행정과장 김병삼 ▲ 남구선거관리위원회 사무국장 백종섭    ◇ 5급 전보    ▲ 지도과 오병승 ▲ 홍보담당관 이민철 ▲ 서구선거관리위원회 지도담당관 양범호 ▲ 북구선거관리위원회 지도담당관 조병준 ▲ 광산구선거관리위원회 지도담당관 조용민 (광주=연합뉴스)▶기사제보 및 문의▶뉴스가 보여요 - 연합뉴스 유튜브<U+00A0><U+00A0>▶2018 러시아 월드컵의 모든 것
	
	"
"169","
	
	



// flash 오류를 우회하기 위한 함수 추가
function _flash_removeCallback() {}
【진주=뉴시스】정경규 기자 = 한국승강기안전공단 노사가 28일 공단 창립 2주년을 맞아 노사상생 실천협약을 체결하고 기념촬영을 하고 있다.2018.06.28.(사진=승강기공단 제공) photo@newsis.com【진주=뉴시스】정경규 기자 = ◇승강기안전공단 노사 상생실천 협약 체결경남 진주 한국승강기안전공단 노사는 28일 공단본부 EL-Safe홀에서 열린 창립 2주년 기념행사에서 미래 경쟁력 확보와 공공기관의 사회적 가치 실현을 위한 ‘노사상생 실천협약’을 선언했다.공단의 노사상생 실천협약의 주요 내용은 ▲승강기 안전검사 신뢰성 확보를 위한 노사 협력 강화 ▲미래 경쟁력 확보를 위한 핵심 인재육성 ▲검사효율 증대 방안 협의 ▲노사 상호 존중 협력 바탕으로 신뢰받는 공공기관 거듭나기 등이다.◇대통령 명의 국가유공자 증서 및 표창 전수식 가져경남서부보훈지청은 28일 3층 대회의실에서 호국보훈의 달을 맞아 대통령 명의 국가유공자 증서 전수와 모범 국가보훈대상자 등에 대한 국방부장관 및 국가보훈처장 표창 등 전수식을 가졌다.이날 행사에서는 대통령 명의 국가유공자 증서 수여자 3명을 포함, 모범 국가보훈대상자와 모범취업자, 보훈업무 대외유공인사 및 모범 취학자녀 등 총 17명에게 전수했다.jkgyu@newsis.com▶ 뉴시스 빅데이터 MSI 주가시세표 바로가기 ▶ 뉴시스 SNS [페이스북] [트위터]"
